*     Rice grown in potential water production situation
*     Rice grown in potential N production situation
*     ORYZA model runs to simulate an experiment
*     Rice crop is transplanted
*     SETPMD: Penman evapotranspiration
*============================================================================
*
* FSE driver info:
*     Year: 1991, day:   4, System start
*     Year: 1991, day: 113, System end
*----------------------------------------------------------------------------
* Output table number  :  0 (=first output table)
* Output table format  : Spreadsheet output
* Simulation results
 
TIME	DVS	RDD	TMIN	TMAX	DTR	RAPCDT	PARCUM	NFLV	SLA	SLASIM	LESTRS	LRSTRS	PCEW	NSP	LAI	WAGT	WST	WLVG	WLVD	WLV	WSO	WRR14	ZRT	YEAR	DOY	CROPSTA	ETD	TRC	EVSC	RAIN	RAINCU
 
   4.00000    	     0.00000	 1.92940E+07	  21.300    	  30.100    	 1.92940E+07	 3.75885E+05	     0.00000	 0.50000    	 4.50000E-03	 0.10000    	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.10000    	 2.00000E-02	     0.00000	     0.00000	     0.00000	 1.00000E-02	     0.00000	     0.00000	 1.00000E-04	  1991.0    	  4.0000    	  1.0000    	  4.0623    	     0.00000	  4.0623    	     0.00000	     0.00000
   5.00000    	 1.36730E-02	 1.95460E+07	  20.600    	  31.000    	 1.95460E+07	 4.36674E+05	 0.37588    	 0.50000    	 4.50000E-03	 4.59609E-02	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.11503    	  4.1715    	  1.6686    	  2.5029    	     0.00000	  2.5029    	     0.00000	     0.00000	     0.00000	  1991.0    	  5.0000    	  2.0000    	  3.7333    	 0.23986    	  3.5247    	     0.00000	     0.00000
   6.00000    	 2.71356E-02	 9.43100E+06	  21.000    	  28.000    	 9.43100E+06	 2.29604E+05	 0.81256    	 0.50000    	 4.50000E-03	 2.45129E-02	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.13206    	  8.9792    	  3.5917    	  5.3875    	     0.00000	  5.3875    	     0.00000	     0.00000	     0.00000	  1991.0    	  6.0000    	  2.0000    	  2.4723    	 0.19967    	  2.3143    	  2.0000    	     0.00000
   7.00000    	 3.98901E-02	 1.63430E+07	  22.100    	  29.800    	 1.63430E+07	 4.68396E+05	  1.0422    	 0.50000    	 4.50000E-03	 1.87544E-02	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.15059    	  13.382    	  5.3529    	  8.0294    	     0.00000	  8.0294    	     0.00000	     0.00000	     0.00000	  1991.0    	  7.0000    	  2.0000    	  3.5174    	 0.31015    	  3.2623    	     0.00000	  2.0000    
   8.00000    	 5.37654E-02	 1.63790E+07	  21.500    	  30.300    	 1.63790E+07	 5.38418E+05	  1.5106    	 0.50000    	 4.50000E-03	 1.46524E-02	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.17356    	  19.742    	  7.8969    	  11.845    	     0.00000	  11.845    	     0.00000	     0.00000	     0.00000	  1991.0    	  8.0000    	  2.0000    	  3.2944    	 0.32257    	  3.0205    	     0.00000	  2.0000    
   9.00000    	 6.75473E-02	 8.85500E+06	  22.600    	  27.500    	 8.85500E+06	 3.22987E+05	  2.0490    	 0.50000    	 4.50000E-03	 1.22851E-02	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.19986    	  27.115    	  10.846    	  16.269    	     0.00000	  16.269    	     0.00000	     0.00000	     0.00000	  1991.0    	  9.0000    	  2.0000    	  2.4915    	 0.30682    	  2.2545    	     0.00000	  2.0000    
   10.0000    	 8.07270E-02	 1.15550E+07	  23.500    	  28.000    	 1.15550E+07	 4.81986E+05	  2.3720    	 0.50000    	 4.50000E-03	 1.13376E-02	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.22883    	  33.639    	  13.456    	  20.183    	     0.00000	  20.183    	     0.00000	     0.00000	     0.00000	  1991.0    	  10.000    	  2.0000    	  3.1842    	 0.47222    	  2.8400    	     0.00000	  2.0000    
   11.0000    	 9.44477E-02	 1.75310E+07	  22.100    	  30.000    	 1.75310E+07	 8.60318E+05	  2.8540    	 0.50000    	 4.50000E-03	 1.03662E-02	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.26336    	  42.342    	  16.937    	  25.405    	     0.00000	  25.405    	     0.00000	     0.00000	     0.00000	  1991.0    	  11.000    	  2.0000    	  3.7083    	 0.57717    	  3.2508    	     0.00000	  2.0000    
   12.0000    	 0.10840    	 1.78190E+07	  22.000    	  30.200    	 1.78190E+07	 9.99862E+05	  3.7143    	 0.50000    	 4.50000E-03	 9.40045E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.30376    	  53.856    	  21.542    	  32.313    	     0.00000	  32.313    	     0.00000	     0.00000	     0.00000	  1991.0    	  12.000    	  2.0000    	  3.6260    	 0.61251    	  3.1150    	     0.00000	  2.0000    
   13.0000    	 0.12236    	 9.64700E+06	  22.300    	  27.600    	 9.64700E+06	 6.00206E+05	  4.7141    	 0.50000    	 4.50000E-03	 8.69012E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.35040    	  67.202    	  26.881    	  40.321    	     0.00000	  40.321    	     0.00000	     0.00000	     0.00000	  1991.0    	  13.000    	  2.0000    	  2.4586    	 0.49880    	  2.0635    	 0.10000    	  2.0000    
   14.0000    	 0.13546    	 1.09430E+07	  22.700    	  27.200    	 1.09430E+07	 7.71720E+05	  5.3143    	 0.50000    	 4.50000E-03	 8.40099E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.40088    	  79.530    	  31.812    	  47.718    	     0.00000	  47.718    	     0.00000	     0.00000	     0.00000	  1991.0    	  14.000    	  2.0000    	  2.7220    	 0.63978    	  2.2276    	  8.0000    	  2.1000    
   15.0000    	 0.14857    	 8.09900E+06	  22.800    	  25.900    	 8.09900E+06	 6.46976E+05	  6.0861    	 0.50000    	 4.50000E-03	 8.06453E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.45864    	  94.785    	  37.914    	  56.871    	     0.00000	  56.871    	     0.00000	     0.00000	     0.00000	  1991.0    	  15.000    	  2.0000    	  1.9433    	 0.47722    	  1.5451    	  7.2000    	  10.100    
   16.0000    	 0.16121    	 1.73150E+07	  21.900    	  28.800    	 1.73150E+07	 1.58023E+06	  6.7330    	 0.50000    	 4.50000E-03	 7.94770E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.52238    	  109.54    	  43.818    	  65.727    	     0.00000	  65.727    	     0.00000	     0.00000	 5.00000E-02	  1991.0    	  16.000    	  3.0000    	  3.9795    	  1.2814    	  3.0647    	     0.00000	  17.300    
   17.0000    	 0.17462    	 1.59830E+07	  20.600    	  29.000    	 1.59830E+07	 2.05776E+05	  8.3133    	 0.50000    	 4.50000E-03	 2.93262E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 6.52969E-02	  37.109    	  14.844    	  22.266    	     0.00000	  22.266    	     0.00000	     0.00000	     0.00000	  1991.0    	  17.000    	  4.0000    	  3.7181    	 0.15186    	  3.5986    	     0.00000	  17.300    
   18.0000    	 0.17462    	 1.85390E+07	  21.200    	  29.300    	 1.85390E+07	 2.42135E+05	  8.5190    	  1.1778    	 4.50000E-03	 2.71388E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 6.52969E-02	  40.101    	  16.040    	  24.060    	     0.00000	  24.060    	     0.00000	     0.00000	     0.00000	  1991.0    	  18.000    	  4.0000    	  4.1841    	 0.17230    	  4.0497    	     0.00000	  17.300    
   19.0000    	 0.17462    	 1.99420E+07	  21.100    	  30.000    	 1.99420E+07	 2.61952E+05	  8.7612    	  1.1778    	 4.50000E-03	 2.45026E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 6.52969E-02	  44.415    	  17.766    	  26.649    	     0.00000	  26.649    	     0.00000	     0.00000	     0.00000	  1991.0    	  19.000    	  4.0000    	  4.3998    	 0.17658    	  4.2585    	     0.00000	  17.300    
   20.0000    	 0.17462    	 2.09140E+07	  21.600    	  30.100    	 2.09140E+07	 2.74422E+05	  9.0231    	  1.1778    	 4.50000E-03	 2.23394E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 6.52969E-02	  48.716    	  19.486    	  29.229    	     0.00000	  29.229    	     0.00000	     0.00000	     0.00000	  1991.0    	  20.000    	  4.0000    	  4.6634    	 0.19053    	  4.5136    	     0.00000	  17.300    
   21.0000    	 0.17462    	 1.69190E+07	  21.700    	  29.500    	 1.69190E+07	 2.51995E+05	  9.2975    	  1.1778    	 4.50000E-03	 2.36649E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 7.51975E-02	  52.960    	  21.184    	  31.776    	     0.00000	  31.776    	     0.00000	     0.00000	     0.00000	  1991.0    	  21.000    	  4.0000    	  3.9458    	 0.18315    	  3.8002    	     0.00000	  17.300    
   22.0000    	 0.18822    	 1.41110E+07	  22.100    	  28.600    	 1.41110E+07	 2.37159E+05	  9.5495    	  1.1778    	 4.41233E-03	 2.49658E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 8.64470E-02	  57.710    	  23.084    	  34.626    	     0.00000	  34.626    	     0.00000	     0.00000	     0.00000	  1991.0    	  22.000    	  4.0000    	  3.5687    	 0.19620    	  3.4177    	     0.00000	  17.300    
   23.0000    	 0.20163    	 8.02700E+06	  23.000    	  26.100    	 8.02700E+06	 1.52649E+05	  9.7867    	  1.2012    	 4.29447E-03	 2.63311E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 9.91958E-02	  62.788    	  25.115    	  37.673    	     0.00000	  37.673    	     0.00000	     0.00000	     0.00000	  1991.0    	  23.000    	  4.0000    	  2.2710    	 0.14103    	  2.1611    	  3.2000    	  17.300    
   24.0000    	 0.21443    	 1.56590E+07	  23.100    	  29.300    	 1.56590E+07	 3.42255E+05	  9.9393    	  1.2341    	 4.18849E-03	 2.82682E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.11315    	  66.712    	  26.685    	  40.027    	     0.00000	  40.027    	     0.00000	     0.00000	     0.00000	  1991.0    	  24.000    	  4.0000    	  4.1608    	 0.30896    	  3.9319    	  1.0000    	  20.500    
   25.0000    	 0.22850    	 1.49030E+07	  22.500    	  29.000    	 1.49030E+07	 3.72596E+05	  10.282    	  1.2654    	 4.07877E-03	 2.94239E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.13065    	  74.007    	  29.603    	  44.404    	     0.00000	  44.404    	     0.00000	     0.00000	     0.00000	  1991.0    	  25.000    	  4.0000    	  3.8426    	 0.32388    	  3.5996    	     0.00000	  21.500    
   26.0000    	 0.24222    	 1.59830E+07	  21.800    	  28.300    	 1.59830E+07	 4.58507E+05	  10.654    	  1.2994    	 3.97825E-03	 3.03995E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.15037    	  82.439    	  32.976    	  49.464    	     0.00000	  49.464    	     0.00000	     0.00000	     0.00000	  1991.0    	  26.000    	  4.0000    	  3.8182    	 0.35868    	  3.5417    	     0.00000	  21.500    
   27.0000    	 0.25540    	 1.36430E+07	  20.000    	  28.400    	 1.36430E+07	 4.41823E+05	  11.113    	  1.3322    	 3.88737E-03	 3.09027E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.17216    	  92.850    	  37.140    	  55.710    	     0.00000	  55.710    	     0.00000	     0.00000	     0.00000	  1991.0    	  27.000    	  4.0000    	  3.2312    	 0.33554    	  2.9647    	     0.00000	  21.500    
   28.0000    	 0.26792    	 1.40750E+07	  20.400    	  28.500    	 1.40750E+07	 5.15826E+05	  11.555    	  1.3634    	 3.80587E-03	 3.13913E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.19587    	  103.99    	  41.596    	  62.395    	     0.00000	  62.395    	     0.00000	     0.00000	     0.00000	  1991.0    	  28.000    	  4.0000    	  3.4030    	 0.41091    	  3.0855    	     0.00000	  21.500    
   29.0000    	 0.28063    	 1.45070E+07	  21.000    	  28.200    	 1.45070E+07	 6.02234E+05	  12.070    	  1.3926    	 3.72769E-03	 3.17786E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.22325    	  117.09    	  46.835    	  70.252    	     0.00000	  70.252    	     0.00000	     0.00000	     0.00000	  1991.0    	  29.000    	  4.0000    	  3.3061    	 0.43499    	  2.9569    	 0.10000    	  21.500    
   30.0000    	 0.29347    	 1.55870E+07	  22.000    	  29.900    	 1.55870E+07	 7.34108E+05	  12.673    	  1.4218    	 3.65319E-03	 3.20402E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.25475    	  132.52    	  53.007    	  79.510    	     0.00000	  79.510    	     0.00000	     0.00000	     0.00000	  1991.0    	  30.000    	  4.0000    	  3.7487    	 0.57738    	  3.3003    	     0.00000	  21.600    
   31.0000    	 0.30734    	 1.49750E+07	  22.600    	  28.900    	 1.49750E+07	 8.03726E+05	  13.407    	  1.4508    	 3.57734E-03	 3.24705E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.29362    	  150.71    	  60.285    	  90.427    	     0.00000	  90.427    	     0.00000	     0.00000	     0.00000	  1991.0    	  31.000    	  4.0000    	  3.4572    	 0.58498    	  2.9852    	  23.100    	  21.600    
   32.0000    	 0.32106    	 1.32470E+07	  22.000    	  28.500    	 1.32470E+07	 8.07190E+05	  14.210    	  1.4815    	 3.50684E-03	 3.28198E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.33792    	  171.60    	  68.642    	  102.96    	     0.00000	  102.96    	     0.00000	     0.00000	     0.00000	  1991.0    	  32.000    	  4.0000    	  3.0533    	 0.57485    	  2.5786    	  1.4000    	  44.700    
   33.0000    	 0.33440    	 1.20590E+07	  23.000    	  28.700    	 1.20590E+07	 8.32176E+05	  15.018    	  1.5113    	 3.44238E-03	 3.32555E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.38747    	  194.19    	  77.675    	  116.51    	     0.00000	  116.51    	     0.00000	     0.00000	     0.00000	  1991.0    	  33.000    	  4.0000    	  3.0159    	 0.67300    	  2.4847    	  1.5000    	  46.100    
   34.0000    	 0.34819    	 1.25630E+07	  22.000    	  29.000    	 1.25630E+07	 9.85388E+05	  15.850    	  1.5396    	 3.37963E-03	 3.40632E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.44626    	  218.35    	  87.339    	  131.01    	     0.00000	  131.01    	     0.00000	     0.00000	     0.00000	  1991.0    	  34.000    	  4.0000    	  3.0542    	 0.77609    	  2.4434    	  1.8000    	  47.600    
   35.0000    	 0.36172    	 1.82150E+07	  22.300    	  31.300    	 1.82150E+07	 1.62157E+06	  16.835    	  1.5682    	 3.32177E-03	 3.45379E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.51264    	  247.38    	  98.952    	  148.43    	     0.00000	  148.43    	     0.00000	     0.00000	     0.00000	  1991.0    	  35.000    	  4.0000    	  4.0706    	  1.1734    	  3.1502    	     0.00000	  49.400    
   36.0000    	 0.37580    	 1.91860E+07	  22.000    	  30.000    	 1.91860E+07	 1.93621E+06	  18.457    	  1.5955    	 3.26519E-03	 3.42268E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.59199    	  288.27    	  115.31    	  172.96    	     0.00000	  172.96    	     0.00000	     0.00000	     0.00000	  1991.0    	  36.000    	  4.0000    	  4.3245    	  1.4689    	  3.2165    	     0.00000	  49.400    
   37.0000    	 0.38971    	 1.59830E+07	  22.000    	  30.500    	 1.59830E+07	 1.82369E+06	  20.393    	  1.6232    	 3.21268E-03	 3.37369E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.68257    	  337.20    	  134.88    	  202.32    	     0.00000	  202.32    	     0.00000	     0.00000	     0.00000	  1991.0    	  37.000    	  4.0000    	  3.7845    	  1.4894    	  2.6902    	     0.00000	  49.400    
   38.0000    	 0.40371    	 1.81070E+07	  22.100    	  31.100    	 1.81070E+07	 2.32690E+06	  22.217    	  1.6497    	 3.16307E-03	 3.37413E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.78762    	  389.05    	  155.62    	  233.43    	     0.00000	  233.43    	     0.00000	     0.00000	     0.00000	  1991.0    	  38.000    	  4.0000    	  4.0474    	  1.7670    	  2.7299    	     0.00000	  49.400    
   39.0000    	 0.41745    	 1.90060E+07	  21.900    	  30.900    	 1.90060E+07	 2.74321E+06	  24.544    	  1.6712    	 3.11731E-03	 3.35064E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	 0.90899    	  452.15    	  180.86    	  271.29    	     0.00000	  271.29    	     0.00000	     0.00000	     0.00000	  1991.0    	  39.000    	  4.0000    	  4.2277    	  2.1238    	  2.6836    	     0.00000	  49.400    
   40.0000    	 0.43113    	 1.18790E+07	  23.400    	  30.800    	 1.18790E+07	 1.94310E+06	  27.287    	  1.6794    	 3.07449E-03	 3.32122E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	  1.0484    	  526.13    	  210.45    	  315.68    	     0.00000	  315.68    	     0.00000	     0.00000	     0.00000	  1991.0    	  40.000    	  4.0000    	  3.2971    	  2.0142    	  1.9519    	     0.00000	  49.400    
   41.0000    	 0.44536    	 1.45430E+07	  22.000    	  31.000    	 1.45430E+07	 2.50086E+06	  29.230    	  1.6863    	 3.03265E-03	 3.18054E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	  1.1234    	  588.67    	  235.47    	  353.20    	     0.00000	  353.20    	     0.00000	     0.00000	     0.00000	  1991.0    	  41.000    	  4.0000    	  3.6284    	  2.2875    	  2.0691    	     0.00000	  49.400    
   42.0000    	 0.45907    	 1.93660E+07	  23.000    	  31.000    	 1.93660E+07	 3.56358E+06	  31.731    	  1.6921    	 2.99479E-03	 3.10452E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	  1.2420    	  666.79    	  266.72    	  400.07    	     0.00000	  400.07    	     0.00000	     0.00000	     0.00000	  1991.0    	  42.000    	  4.0000    	  4.3828    	  2.9391    	  2.3553    	     0.00000	  49.400    
   43.0000    	 0.47315    	 1.67390E+07	  23.100    	  31.500    	 1.67390E+07	 3.38399E+06	  35.294    	  1.6965    	 2.95829E-03	 3.04736E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	  1.3990    	  765.13    	  306.05    	  459.08    	     0.00000	  459.08    	     0.00000	     0.00000	     0.00000	  1991.0    	  43.000    	  4.0000    	  4.1135    	  3.1838    	  2.0437    	     0.00000	  49.400    
   44.0000    	 0.48718    	 1.54070E+07	  22.500    	  30.500    	 1.54070E+07	 3.37984E+06	  38.678    	  1.6997    	 2.92412E-03	 2.99922E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	  1.5598    	  866.77    	  346.71    	  520.06    	     0.00000	  520.06    	     0.00000	     0.00000	     0.00000	  1991.0    	  44.000    	  4.0000    	  3.6513    	  2.9828    	  1.6739    	     0.00000	  49.400    
   45.0000    	 0.50110    	 1.92220E+07	  22.000    	  30.500    	 1.92220E+07	 4.48287E+06	  42.058    	  1.7018    	 2.89231E-03	 2.95710E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	  1.7291    	  974.54    	  389.82    	  584.73    	     0.00000	  584.73    	     0.00000	     0.00000	     0.00000	  1991.0    	  45.000    	  4.0000    	  3.9704    	  3.2892    	  1.6725    	     0.00000	  49.400    
   46.0000    	 0.51482    	 2.16700E+07	  22.900    	  31.500    	 2.16700E+07	 5.40792E+06	  46.541    	  1.7026    	 2.86282E-03	 2.91909E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	  1.9362    	  1105.7    	  442.47    	  663.28    	     0.00000	  663.28    	     0.00000	     0.00000	     0.00000	  1991.0    	  46.000    	  4.0000    	  4.3929    	  3.9695    	  1.6685    	     0.00000	  49.400    
   47.0000    	 0.52879    	 2.13100E+07	  22.100    	  31.200    	 2.13100E+07	 5.69897E+06	  51.949    	  1.7023    	 2.83462E-03	 2.88495E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	  2.1563    	  1250.3    	  502.86    	  747.43    	     0.00000	  747.43    	     0.00000	     0.00000	     0.00000	  1991.0    	  47.000    	  4.0000    	  4.3396    	  4.1916    	  1.4764    	     0.00000	  49.400    
   48.0000    	 0.54253    	 2.14900E+07	  22.500    	  30.500    	 2.14900E+07	 6.10893E+06	  57.648    	  1.7010    	 2.80857E-03	 2.85321E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	  2.3878    	  1408.5    	  571.60    	  836.88    	     0.00000	  836.88    	     0.00000	     0.00000	     0.00000	  1991.0    	  48.000    	  4.0000    	  4.4160    	  4.5057    	  1.3382    	  3.4000    	  49.400    
   49.0000    	 0.55644    	 8.71100E+06	  21.500    	  25.000    	 8.71100E+06	 2.72706E+06	  63.757    	  1.6986    	 2.78378E-03	 2.82436E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	  2.6299    	  1580.2    	  649.06    	  931.16    	     0.00000	  931.16    	     0.00000	     0.00000	     0.00000	  1991.0    	  49.000    	  4.0000    	  1.8585    	  1.7008    	 0.49898    	  7.1000    	  52.800    
   50.0000    	 0.56800    	 1.36070E+07	  21.800    	  28.400    	 1.36070E+07	 4.31101E+06	  66.484    	  1.6952    	 2.76432E-03	 2.79793E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	  2.7644    	  1687.0    	  699.03    	  988.02    	     0.00000	  988.02    	     0.00000	     0.00000	     0.00000	  1991.0    	  50.000    	  4.0000    	  3.0989    	  3.3406    	 0.77790    	     0.00000	  59.900    
   51.0000    	 0.58096    	 9.82700E+06	  21.600    	  26.500    	 9.82700E+06	 3.27648E+06	  70.795    	  1.6916    	 2.74368E-03	 2.77672E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	  2.9686    	  1843.5    	  774.35    	  1069.1    	     0.00000	  1069.1    	     0.00000	     0.00000	     0.00000	  1991.0    	  51.000    	  4.0000    	  2.5269    	  2.8350    	 0.57274    	 0.70000    	  59.900    
   52.0000    	 0.59313    	 1.90060E+07	  21.500    	  28.700    	 1.90060E+07	 6.30707E+06	  74.071    	  1.6867    	 2.72537E-03	 2.75486E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	  3.1204    	  1969.9    	  837.22    	  1132.7    	     0.00000	  1132.7    	     0.00000	     0.00000	     0.00000	  1991.0    	  52.000    	  4.0000    	  4.0032    	  4.5911    	 0.84104    	     0.00000	  60.600    
   53.0000    	 0.60609    	 1.25270E+07	  21.900    	  26.100    	 1.25270E+07	 4.41150E+06	  80.378    	  1.6815    	 2.70694E-03	 2.73519E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	  3.3753    	  2177.5    	  943.45    	  1234.0    	     0.00000	  1234.0    	     0.00000	     0.00000	     0.00000	  1991.0    	  53.000    	  4.0000    	  2.8762    	  3.2501    	 0.53196    	  2.0000    	  60.600    
   54.0000    	 0.61822    	 9.21500E+06	  22.200    	  26.500    	 9.21500E+06	 3.36365E+06	  84.790    	  1.6751    	 2.69063E-03	 2.71579E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	  3.5700    	  2348.4    	  1033.6    	  1314.5    	 0.28185    	  1314.8    	     0.00000	     0.00000	     0.00000	  1991.0    	  54.000    	  4.0000    	  2.4671    	  2.9835    	 0.41398    	 0.90000    	  62.600    
   55.0000    	 0.63061    	 8.96300E+06	  22.000    	  26.700    	 8.96300E+06	 3.32340E+06	  88.154    	  1.6686    	 2.67487E-03	 2.69063E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	  3.6945    	  2478.2    	  1103.9    	  1373.1    	  1.1799    	  1374.3    	     0.00000	     0.00000	     0.00000	  1991.0    	  55.000    	  4.0000    	  2.6364    	  3.4314    	 0.41567    	     0.00000	  63.500    
   56.0000    	 0.64301    	 1.02590E+07	  22.700    	  26.800    	 1.02590E+07	 3.84899E+06	  91.477    	  1.6612    	 2.65996E-03	 2.67487E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	  3.8204    	  2606.1    	  1175.1    	  1428.2    	  2.7562    	  1431.0    	     0.00000	     0.00000	     0.00000	  1991.0    	  56.000    	  4.0000    	  2.9119    	  3.6720    	 0.43112    	 0.40000    	  63.500    
   57.0000    	 0.65570    	 1.43630E+07	  21.800    	  26.700    	 1.43630E+07	 5.41887E+06	  95.326    	  1.6532    	 2.64552E-03	 2.65996E-03	  1.0000    	  1.0000    	  1.0000    	     0.00000	  3.9622    	  2754.7    	  1260.1    	  1489.6    	  5.0595    	  1494.6    	     0.00000	     0.00000	     0.00000	  1991.0    	  57.000    	  4.0000    	  3.2910    	  3.9530    	 0.45387    	     0.00000	  63.900    
   58.0000    	 0.66844    	 2.22100E+07	  21.500    	  29.500    	 2.22100E+07	 8.40542E+06	  100.74    	  1.6444    	 2.63184E-03	 2.64552E-03	  1.0000    	  1.0000    	  1.0000    	 1.59746E+07	  4.1609    	  2963.7    	  1382.7    	  1572.8    	  8.1710    	  1581.0    	     0.00000	     0.00000	     0.00000	  1991.0    	  58.000    	  4.0000    	  4.4353    	  5.3140    	 0.55385    	     0.00000	  63.900    
   59.0000    	 0.68216    	 2.12740E+07	  20.500    	  29.500    	 2.12740E+07	 8.30710E+06	  109.15    	  1.6349    	 2.61796E-03	 2.63184E-03	  1.0000    	  1.0000    	  1.0000    	 3.56888E+07	  4.4006    	  3223.3    	  1539.0    	  1672.1    	  12.208    	  1684.3    	     0.00000	     0.00000	     0.00000	  1991.0    	  59.000    	  4.0000    	  4.0877    	  4.7131    	 0.45279    	     0.00000	  63.900    
   60.0000    	 0.69549    	 2.37220E+07	  19.700    	  29.300    	 2.37220E+07	 9.42901E+06	  117.46    	  1.6242    	 2.60527E-03	 2.61796E-03	  1.0000    	  1.0000    	  1.0000    	 5.60180E+07	  4.6331    	  3492.8    	  1705.8    	  1769.7    	  17.359    	  1787.1    	     0.00000	     0.00000	     0.00000	  1991.0    	  60.000    	  4.0000    	  4.2708    	  4.9510    	 0.42117    	     0.00000	  63.900    
   61.0000    	 0.70843    	 2.35420E+07	  20.100    	  29.100    	 2.35420E+07	 9.56837E+06	  126.89    	  1.6131    	 2.59367E-03	 2.60527E-03	  1.0000    	  1.0000    	  1.0000    	 7.73251E+07	  4.8649    	  3777.3    	  1886.3    	  1867.3    	  23.697    	  1891.0    	     0.00000	     0.00000	     0.00000	  1991.0    	  61.000    	  4.0000    	  4.2743    	  4.9515    	 0.37537    	     0.00000	  63.900    
   62.0000    	 0.72144    	 2.31460E+07	  19.900    	  29.100    	 2.31460E+07	 9.59613E+06	  136.45    	  1.6018    	 2.58265E-03	 2.59367E-03	  1.0000    	  1.0000    	  1.0000    	 9.91372E+07	  5.0895    	  4070.4    	  2076.8    	  1962.3    	  31.289    	  1993.6    	     0.00000	     0.00000	     0.00000	  1991.0    	  62.000    	  4.0000    	  4.3524    	  5.2236    	 0.34163    	     0.00000	  63.900    
   63.0000    	 0.73438    	 1.90780E+07	  21.900    	  29.400    	 1.90780E+07	 8.11336E+06	  146.05    	  1.5899    	 2.57232E-03	 2.58265E-03	  1.0000    	  1.0000    	  1.0000    	 1.21423E+08	  5.3051    	  4371.8    	  2277.5    	  2054.1    	  40.225    	  2094.3    	     0.00000	     0.00000	     0.00000	  1991.0    	  63.000    	  4.0000    	  3.8775    	  4.6664    	 0.27326    	     0.00000	  63.900    
   64.0000    	 0.74821    	 1.76750E+07	  21.200    	  31.000    	 1.76750E+07	 7.63578E+06	  154.16    	  1.5776    	 2.56192E-03	 2.57232E-03	  1.0000    	  1.0000    	  1.0000    	 1.42201E+08	  5.4892    	  4654.7    	  2470.2    	  2133.9    	  50.576    	  2184.5    	     0.00000	     0.00000	     0.00000	  1991.0    	  64.000    	  4.0000    	  3.6942    	  4.4122    	 0.23745    	     0.00000	  63.900    
